Species,Site,Sun/Shade,Rep,Mass (G),Bulk Leaf Area (cm2),Leaf Area (m2),SLA (m2/g)
Betula,High Density,Sun,1,0.496,68.935,0.0068935,0.013898185
Betula,High Density,Sun,2,0.339,44.945,0.0044945,0.013258112
Betula,High Density,Sun,3,0.389,56.903,0.0056903,0.014628021
Betula,High Density,Sun,4,0.468,62.989,0.0062989,0.013459188
Betula,High Density,Sun,5,0.296,45.433,0.0045433,0.015348986
Betula,High Density,Sun,6,0.37,51.625,0.0051625,0.013952703
Betula,High Density,Shade,1,0.103,20.264,0.0020264,0.019673786
Betula,High Density,Shade,2,0.123,27.928,0.0027928,0.022705691
Betula,High Density,Shade,3,0.217,41.146,0.0041146,0.01896129
Betula,High Density,Shade,4,0.092,16.478,0.0016478,0.01791087
Betula,High Density,Shade,5,0.226,45.629,0.0045629,0.020189823
Betula,High Density,Shade,6,0.222,37.62,0.003762,0.016945946
Betula,Low Density,Sun,1,3.21,79.007,0.0079007,0.002461277
Betula,Low Density,Sun,2,1.81,56.638,0.0056638,0.003129171
Betula,Low Density,Sun,3,0.52,82.824,0.0082824,0.015927692
Betula,Low Density,Sun,4,6.29,112.188,0.0112188,0.001783593
Betula,Low Density,Sun,5,1.08,98.238,0.0098238,0.009096111
Betula,Low Density,Sun,1,0.482,64.493,0.0064493,0.01338029
Betula,Low Density,Sun,2,0.511,64.371,0.0064371,0.012597065
Betula,Low Density,Sun,3,0.539,66.726,0.0066726,0.012379592
Betula,Low Density,Sun,4,0.388,51.681,0.0051681,0.013319845
Betula,Low Density,Sun,5,0.449,57.748,0.0057748,0.01286147
Betula,Low Density,Sun,6,0.486,60.904,0.0060904,0.012531687
Betula,Low Density,Sun,7,0.19,22.976,0.0022976,0.012092632
Betula,Low Density,Sun,8,0.303,36.589,0.0036589,0.012075578
Salix,High Density,Sun,1,0.638,92.104,0.0092104,0.014436364
Salix,High Density,Sun,2,0.589,87.932,0.0087932,0.014929032
Salix,High Density,Sun,3,0.614,86.754,0.0086754,0.014129316
Salix,High Density,Sun,4,0.675,85.933,0.0085933,0.012730815
Salix,High Density,Sun,5,0.543,82.993,0.0082993,0.015284162
Salix,High Density,Sun,6,0.307,40.114,0.0040114,0.01306645
Salix,High Density,Shade,1,0.484,80.18,0.008018,0.016566116
Salix,High Density,Shade,2,0.608,93.82,0.009382,0.015430921
Salix,High Density,Shade,3,0.618,93.352,0.0093352,0.015105502
Salix,High Density,Shade,4,0.904,114.878,0.0114878,0.012707743
Salix,High Density,Shade,5,0.685,96.206,0.0096206,0.014044672
Salix,High Density,Shade,6,0.818,132.066,0.0132066,0.016144988
Salix,Low Density,Sun,6,0.22,35.658,0.0035658,0.016208182
Salix,Low Density,Sun,1,0.985,118.604,0.0118604,0.012041015
Salix,Low Density,Sun,2,0.577,67.245,0.0067245,0.011654246
Salix,Low Density,Sun,3,0.544,67.304,0.0067304,0.012372059
Salix,Low Density,Sun,4,0.818,87.374,0.0087374,0.010681418
Salix,Low Density,Sun,5,0.846,97.226,0.0097226,0.011492435
Salix,Low Density,Sun,7,0.842,109.034,0.0109034,0.012949406
Salix,Low Density,Sun,8,0.399,56.727,0.0056727,0.014217293
Salix,Low Density,Sun,1,0.77,79.255,0.0079255,0.010292857
Salix,Low Density,Sun,2,1.16,76.824,0.0076824,0.006622759
Salix,Low Density,Sun,3,0.65,75.397,0.0075397,0.011599538
Salix,Low Density,Sun,4,1.09,160.052,0.0160052,0.01468367
Salix,Low Density,Sun,5,0.91,62.066,0.0062066,0.00682044
