Rank,Name,Region,Elev.m,Prom.m,Elev.ft,Prom.ft
1,Mt Everest,Nepal Tibet,8848,8848,29028,29028
2,Aconcagua,Argentina,6962,6962,22841,22841
3,Mt McKinley Denali,US,6194,6138,20320,20138
4,Kilimanjaro,Tanzania,5895,5885,19340,19308
5,Cristobal Colon,Colombia,5700,5509,18701,18074
6,Mt Logan,Canada,5959,5250, 19550,17224
7,Pico de Orizaba Citlaltepetl,Mexico,5636,4922,18491,16148
8,Vinson Massif,Antarctica,4892,4892,16050,16050
9,Puncak Jaya,Indonesia,4884,4884,16023,16023
10,Gora Elbrus,Russia,5642,4741,18510,15554
11,Mont Blanc,France Italy,4809,4696,15777,15406
12,Damavand,Iran,5610,4667,18405,15311
13,Klyuchevskaya Volcano,Russia,4750,4649,15584,15252
14,Nanga Parbat,Pakistan,8125,4608,26657,15118
15,Mauna Kea,US,4205,4205,13796,13796
16,Jengish Chokusu ex Pik Pobedy,Kyrgyzstan China,7439,4148,24406,13609
17,Chimborazo,Ecuador,6267,4122,20561,13523
18,Bogda Shan,China,5445,4122,17864,13523
19,Namcha Barwa,China,7782,4106,25531,13471
20,Kinabalu,Malaysia,4095,4095,13435,13435
21,Mt Rainier,US,4393,4023,14411,13196
22,K2,Pakistan China,8611,4017,28251,13179
23,Ras Dejen,Ethiopia,4533,3980,15092,13090
24,Volcan Tajumulco,Guatemala,4220,3980,13845,13058
25,Pico Bolivar,Venezuela,4981,3957,16341,12982
