doy,year,hour,RH.VP4,site,TempC.VP4
181,2016,18.5,0.036,hd,14.8
181,2016,19,0.553,hd,14.3
181,2016,19.5,0.605,hd,13.4
181,2016,20,0.637,hd,12.3
181,2016,20.5,0.667,hd,11.6
181,2016,21,0.68,hd,11.3
181,2016,21.5,0.722,hd,10.4
181,2016,22,0.782,hd,9.2
181,2016,22.5,0.796,hd,9.1
181,2016,23,0.826,hd,8.4
181,2016,23.5,0.837,hd,8.2
182,2016,0,0.863,hd,7.6
182,2016,0.5,0.883,hd,7.1
182,2016,1,0.907,hd,6.7
182,2016,1.5,0.92,hd,6.5
182,2016,2,0.922,hd,6.3
182,2016,2.5,0.928,hd,6.2
182,2016,3,0.924,hd,6.1
182,2016,3.5,0.92,hd,6
182,2016,4,0.928,hd,6.2
182,2016,4.5,0.924,hd,6.1
182,2016,5,0.918,hd,6.2
182,2016,5.5,0.912,hd,6.3
182,2016,6,0.901,hd,6.3
182,2016,6.5,0.888,hd,6
182,2016,7,0.899,hd,6
182,2016,7.5,0.883,hd,5.9
182,2016,8,0.87,hd,6.3
182,2016,8.5,0.88,hd,6.3
182,2016,9,0.85,hd,6.8
182,2016,9.5,0.852,hd,6.6
182,2016,10,0.827,hd,7.2
182,2016,10.5,0.805,hd,7.6
182,2016,11,0.773,hd,8.2
183,2016,13,0.591,ld,16.1
183,2016,13.5,0.844,ld,11.7
183,2016,14,0.837,ld,11.3
183,2016,14.5,0.833,ld,11.1
183,2016,15,0.813,ld,11.6
183,2016,15.5,0.812,ld,11.2
183,2016,16,0.839,ld,10.3
183,2016,16.5,0.876,ld,9.5
183,2016,17,0.903,ld,9.2
183,2016,17.5,0.906,ld,9
183,2016,18,0.906,ld,9
183,2016,18.5,0.913,ld,8.9
183,2016,19,0.943,ld,8.7
183,2016,19.5,0.954,ld,8.8
183,2016,20,0.929,ld,9.2
183,2016,20.5,0.929,ld,9.2
183,2016,21,0.922,ld,9.3
183,2016,21.5,0.904,ld,9.6
183,2016,22,0.817,ld,9.5
183,2016,22.5,0.838,ld,8.5
183,2016,23,0.839,ld,8
183,2016,23.5,0.847,ld,7.2
184,2016,0,0.821,ld,8
184,2016,0.5,0.738,ld,8.7
184,2016,1,0.698,ld,8.8
184,2016,1.5,0.741,ld,8.1
184,2016,2,0.744,ld,7.1
184,2016,2.5,0.819,ld,7
184,2016,3,0.88,ld,7.3
184,2016,3.5,0.888,ld,7.5
184,2016,4,0.93,ld,7.6
184,2016,4.5,0.913,ld,8.6
184,2016,5,0.899,ld,9.4
184,2016,5.5,0.887,ld,9.6
184,2016,6,0.88,ld,10
184,2016,6.5,0.871,ld,10.3
